Violation Code,Violation Precinct,Registration State,Vehicle Make,Violation Time,Violation County,Vehicle Color
70,79,NY,HONDA,1253P,K,GY
71,81,NY,ROVER,1214P,K,GR
71,79,NY,SMART,1201P,K,WH
71,79,NY,LEXUS,1146A,K,BK
71,79,NY,SMART,1132A,K,WH
71,88,NY,VOLKS,1115A,K,TN
71,88,NY,TOYOT,1105A,K,WH
71,88,NY,GMC,1102A,K,GY
70,94,NY,INFIN,0604P,K,BK
70,94,NY,VOLKS,0428P,K,GREY
19,94,NY,TOYOT,0227P,K,BK
71,94,NY,JEEP,0143P,K,BK
71,94,NY,NISSA,0138P,K,RD
70,94,NY,NISSA,0137P,K,RD
71,94,NY,VOLKS,0135P,K,BK
71,94,NY,LEXUS,0131P,K,WH
70,94,NY,FORD,0127P,K,GREY
70,94,NY,NISSA,0116P,K,GY
71,94,NY,FORD,0111P,K,WH
71,94,NY,JEEP,0102P,K,BK
71,94,NY,MASE,1258P,K,BL
71,94,NY,AUDI,1247P,K,GY
71,94,NY,CHRYS,1241P,K,BL
71,70,NY,MAZDA,0359P,K,WH
71,70,NY,SUBAR,0356P,K,GR
71,70,NY,NISSA,0342P,K,GY
40,63,VA,NISSA,0228P,K,GREY
71,63,NY,FORD,0225P,K,BK
70,63,NY,TOYOT,0221P,K,GY
71,63,NY,TOYOT,0220P,K,GY
71,63,NY,BMW,0216P,K,WH
71,63,NY,ACURA,0213P,K,WH
71,63,NY,CADIL,0210P,K,BL
71,63,NY,HYUND,0204P,K,BK
71,63,NY,INFIN,0202P,K,BK
71,63,NY,LEXUS,1250P,K,BK
71,63,NY,JEEP,1201P,K,GY
71,63,NY,TOYOT,1158A,K,GR
71,63,NY,NISSA,1125A,K,GY
71,63,NY,LEXUS,1124A,K,BK
71,63,NY,HYUND,1120A,K,BK
71,63,NY,TOYOT,1109A,K,BL
71,63,NY,NISSA,1101A,K,GY
19,84,NY,HONDA,0605P,K,TN
7,0,PA,FORD,0827P,BK,
19,84,NY,HONDA,0527P,K,BK
19,84,NY,NISSA,0421P,K,GY
19,84,NY,TOYOT,0420P,K,WH
14,84,NY,NISSA,0406P,K,BL
14,84,NY,GMC,0256P,K,WH
14,84,NY,NISSA,0254P,K,GY
14,84,NY,ACURA,0248P,K,GY
14,84,NY,NISSA,0244P,K,BK
19,84,NY,HONDA,0231P,K,GY
14,84,PA,TOYOT,0138P,K,OTHER
14,84,NY,VOLKS,0137P,K,BK
71,84,NY,SMART,0135P,K,WH
14,84,NY,SMART,0134P,K,WH
14,84,NY,SMART,0132P,K,WH
71,84,NY,BMW,0124P,K,GY
19,84,NY,BMW,0122P,K,GY
70,84,NY,JEEP,0107P,K,BL
14,84,VA,HONDA,1252P,K,BLACK
14,84,NY,BENTL,1249P,K,BK
71,84,NY,HONDA,1243P,K,GY
71,84,NY,JEEP,1151A,K,BL
71,61,NY,JEEP,0638P,K,RD
71,62,NY,NISSA,0610P,K,GY
70,62,NY,ACURA,0607P,K,GY
71,62,NY,ACURA,0605P,K,GY
71,62,NY,LEXUS,0546P,K,WH
71,62,NY,TOYOT,0544P,K,GY
71,62,NY,NISSA,0542P,K,BL
71,62,NY,PORSC,0532P,K,WH
71,62,NY,CHEVR,0528P,K,BK
40,62,NY,ME/BE,0519P,K,BL
71,62,NY,HONDA,0447P,K,BK
71,62,NY,HONDA,0435P,K,GY
71,62,NY,TOYOT,0430P,K,GY
71,62,NY,MITSU,0427P,K,GY
71,62,NY,TOYOT,0426P,K,GY
71,62,NY,FORD,0423P,K,GY
71,62,NY,DODGE,0417P,K,BL
71,62,NY,BMW,0409P,K,BK
71,62,NY,CHEVR,0407P,K,GY
71,62,NY,FORD,0406P,K,WH
71,62,NY,HONDA,0400P,K,BL
7,0,NY,TOYOT,1225A,MN,GY
7,0,NY,TOYOT,1214A,QN,BK
7,0,NY,HYUND,1209A,QN,BK
7,0,NY,TOYOT,1208A,BK,GY
7,0,NY,CHEVR,1201A,BK,RD
7,0,NY,TOYOT,1201A,QN,BK
7,0,NY,LEXUS,1200A,MN,BL
40,63,NY,LEXUS,0643A,K,WH
19,60,NY,TOYOT,1050P,K,GRY
14,60,FL,HONDA,0545P,K,MAROO
46,123,NY,FORD,0923P,R,BLK
78,122,NY,CHEVR,1040P,R,WH
98,70,NY,TOYOT,0442P,K,SILVE
98,45,NY,ME/BE,0840A,BX,
40,52,NJ,ME/BE,0850A,BX,WH
40,0,99,HONDA,0540A,BX,GY
40,0,NY,JEEP,0538A,BX,BLK
98,52,NJ,HONDA,0710A,BX,W
98,43,NY,TOYOT,0600P,BX,GY
40,69,CT,TOYOT,0913A,K,GRAY
46,72,NY,FORD,0420A,K,
46,77,AR,FORD,0431P,K,WHITE
19,72,TX,SASUK,0426P,,BLACK
20,43,NY,BUICK,0438P,BX,TAN
20,110,NY,TOYOT,0125P,Q,BLACK
20,110,NY,BMW,0118P,Q,BLACK
70,62,NY,LINCO,0336P,K,BK
71,62,NY,TOYOT,0332P,K,WH
71,62,NY,NISSA,0323P,K,BL
71,62,NY,GMC,0321P,K,WH
14,62,NY,NISSA,0319P,K,GY
14,62,NY,PLYMO,0318P,K,BL
71,62,NY,CADIL,0312P,K,BK
71,62,NY,NISSA,0229P,K,BK
71,62,NY,TOYOT,0226P,K,WH
71,62,NY,FORD,0224P,K,RD
71,62,NY,LEXUS,0218P,K,BL
71,62,NY,GMC,0215P,K,WH
71,62,NY,NISSA,0212P,K,RD
71,62,NY,HONDA,0210P,K,GY
71,62,NY,NISSA,0208P,K,GY
70,62,NY,CHEVR,0142P,K,WH
71,62,NY,FORD,0137P,K,GY
71,62,NY,NISSA,0134P,K,BK
71,62,NY,ME/BE,0127P,K,WH
71,62,NY,JEEP,0111P,K,BK
71,62,NY,SUBAR,1224P,K,GY
40,62,NY,ME/BE,1222P,K,BK
71,62,NY,HONDA,1218P,K,GY
71,62,NY,LEXUS,1215P,K,GL
71,62,NY,HONDA,1213P,K,GY
71,62,NY,BMW,1209P,K,GY
71,62,NY,ME/BE,1205P,K,WH
14,62,NY,TOYOT,1201P,K,GY
71,62,NY,HYUND,1155A,K,RD
40,60,TN,TOYOT,1145A,K,SILVE
71,60,NY,ME/BE,1142A,K,BR
71,105,NY,CADIL,1204P,Q,WH
71,105,NY,MAZDA,1157A,Q,GY
70,105,NY,CHRYS,1140A,Q,GY
14,105,NY,FORD,1138A,Q,BK
71,14,NY,FORD,0518P,NY,BK
70,14,NY,FORD,0516P,NY,BK
71,14,NY,NISSA,0508P,NY,GY
40,14,NY,ROVER,0459P,NY,RD
71,49,NY,JEEP,0225P,BX,BK
14,49,NY,LEXUS,0203P,BX,WH
71,49,NY,FORD,0158P,BX,RD
71,49,NY,NISSA,1154A,BX,GL
71,49,NY,TOYOT,1152A,BX,GL
20,103,NY,NISSA,0601P,Q,BL
19,102,NY,HONDA,0522P,Q,BK
19,102,NY,TOYOT,0505P,Q,GY
14,103,NY,HONDA,0330P,Q,WHITE
70,103,NY,FORD,0123P,Q,GY
71,103,NY,NISSA,0120P,Q,GY
14,103,NY,MAZDA,0115P,Q,WHITE
20,103,NY,TOYOT,0111P,Q,GOLD
14,18,NY,ROVER,0540P,NY,WH
20,18,NY,LEXUS,0532P,NY,RED
14,18,NY,MAZDA,0336P,NY,GY
71,17,NY,JEEP,0151P,NY,BK
40,18,NY,TOYOT,1117A,NY,GY
70,18,NY,TOYOT,1116A,NY,GY
14,18,NY,JEEP,1111A,NY,GR
71,19,NY,BMW,0353P,NY,GY
71,19,NY,BMW,0344P,NY,BL
71,19,NY,JEEP,1151A,NY,SILVE
71,19,NY,SUBAR,1144A,NY,GY
71,19,NY,VOLVO,1122A,NY,GR
70,19,NY,VOLVO,1121A,NY,GR
40,19,NY,TOYOT,1113A,NY,BL
71,19,NY,HONDA,1111A,NY,WH
71,19,NY,KIA,1058A,NY,GY
71,19,NY,LEXUS,1057A,NY,WH
71,19,NY,VOLKS,1049A,NY,BL
71,19,NY,TOYOT,1047A,NY,BL
71,112,NY,MINI,0450P,Q,BL
71,112,NY,NISSA,0429P,Q,GR
70,112,NY,NISSA,0221P,Q,GY
71,112,NY,INFIN,0143P,Q,GY
71,112,NY,HONDA,0127P,Q,WH
71,112,NY,MAZDA,1145A,Q,GY
71,112,NY,JEEP,1142A,Q,GY
71,1,NY,NISSA,0302P,NY,BK
40,1,TX,TOYOT,0202P,NY,WHITE
71,1,NY,FORD,0106P,NY,WH
14,1,NJ,TOYOT,0101P,NY,GREY
70,1,NY,TOYOT,1216P,NY,GY
70,1,NY,VOLVO,1117A,NY,BLACK
14,1,FL,TOYOT,1114A,NY,BLACK
71,112,NY,VOLVO,0515P,Q,GY
71,112,NY,SUBAR,0453P,Q,WH
71,112,NY,BMW,0429P,Q,WH
20,112,NY,TOYOT,0216P,Q,GY
20,112,NY,NISSA,1141A,Q,BL
71,112,NY,HONDA,1136A,Q,WH
71,20,NY,INFIN,0249P,NY,GY
71,24,NY,NISSA,1239P,NY,GY
71,24,NY,GMC,1235P,NY,GY
71,24,NY,BMW,1226P,NY,BK
70,26,NY,TOYOT,1217P,NY,TN
14,26,NY,VOLKS,1212P,NY,WH
71,26,NY,BMW,1143A,NY,BK
71,24,NY,HONDA,1128A,NY,LT/
71,24,NY,VOLVO,1114A,NY,BL
14,5,NJ,ME/BE,0344P,NY,WHITE
17,5,NY,LEXUS,0148P,NY,BK
14,5,NY,HONDA,1204P,NY,GY
71,5,NY,LEXUS,1116A,NY,GY
71,5,NY,ACURA,1050A,NY,GY
71,5,NY,ME/BE,1046A,NY,GY
17,5,NY,NISSA,1038A,NY,RD
7,0,NY,HONDA,0511P,QN,BK
14,5,NY,BMW,1034A,NY,BK
19,1,NY,BMW,0310P,NY,BL
14,1,OH,TOYOT,0148P,NY,BLACK
14,1,FL,AUDI,1158A,NY,SILVE
14,1,NY,VOLKS,1156A,NY,RD
14,1,VA,HYUND,1032A,NY,GREY
14,1,NY,ROVER,1028A,NY,WH
53,24,NY,LINCO,0355P,NY,BK
40,24,PA,JEEP,0233P,NY,GREY
40,24,NY,AUDI,0227P,NY,BL
40,24,SC,CHEVR,0154P,NY,BROWN
71,24,NY,AUDI,1211P,NY,WH
40,24,NY,TOYOT,1209P,NY,
71,115,NY,HONDA,1231P,Q,BR
71,115,NY,HONDA,1229P,Q,BK
20,115,NY,FORD,1226P,Q,BK
70,115,NY,HONDA,1222P,Q,RED
40,115,NY,CHEVR,1220P,Q,BL
40,115,NY,LINCO,1214P,Q,BK
71,115,NY,HONDA,1211P,Q,BL
71,115,NY,FORD,1130A,Q,GY
14,115,NY,TOYOT,1101A,Q,GY
23,110,NY,ME/BE,1050A,Q,GY
20,109,NY,ME/BE,0112P,Q,GY
20,109,NY,TOYOT,1245P,Q,SILVE
46,109,NY,JEEP,1137A,Q,GY
46,109,NY,TOYOT,1136A,Q,WH
20,109,NY,TOYOT,1052A,Q,GY
20,109,NY,LEXUS,1043A,Q,BK
20,109,NY,TOYOT,1041A,Q,BK
71,20,NY,TOYOT,0235P,NY,BL
71,20,NY,CHEVR,0118P,NY,GY
70,20,NY,LEXUS,1159A,NY,OTHER
70,20,NY,FIAT,1155A,NY,YW
71,20,NY,CHEVR,1132A,NY,BK
70,20,NY,CHEVR,1131A,NY,BK
71,20,NY,HYUND,1117A,NY,BK
70,20,NY,NISSA,1111A,NY,WHITE
14,20,NY,TOYOT,1059A,NY,GY
71,115,NY,CHEVR,1107A,Q,WHITE
70,115,NY,FORD,1100A,Q,RD
71,115,NY,TOYOT,1059A,Q,BK
71,115,NY,DODGE,1049A,Q,GY
71,19,NY,BMW,0143P,NY,GY
71,19,NY,LEXUS,0103P,NY,BK
71,19,NY,HONDA,1117A,NY,BK
40,19,NY,CHEVR,1104A,NY,GY
70,19,NY,TOYOT,1103A,NY,GY
70,19,NY,TOYOT,1057A,NY,GY
40,19,NY,JEEP,1055A,NY,BK
48,23,NY,CHEVR,1051A,NY,GY
71,23,NY,HONDA,1050A,NY,GY
71,110,NY,FORD,0136P,Q,BK
71,114,NY,LEXUS,1258P,Q,BK
10,114,NY,NISSA,1252P,Q,RD
10,114,NY,TOYOT,1251P,Q,GY
71,114,NY,KIA,1246P,Q,BL
13,114,NY,HONDA,1239P,Q,BK
71,108,NY,GMC,1205P,Q,BK
71,108,NY,HONDA,1149A,Q,RD
71,108,NY,TOYOT,1147A,Q,GY
20,108,NY,JEEP,1143A,Q,TN
71,108,NY,JEEP,1142A,Q,TN
71,110,NY,HONDA,1120A,Q,GREY
20,110,PA,CHRYS,1113A,Q,GREY
71,20,NY,LEXUS,0245P,NY,BK
71,20,NY,NISSA,0241P,NY,BK
71,20,NY,ME/BE,0238P,NY,WH
71,20,NY,CHEVR,0228P,NY,RD
71,20,NY,CADIL,0121P,NY,BK
71,20,NY,VOLKS,1249P,NY,BK
71,20,NY,VOLVO,1244P,NY,SILVE
70,20,NY,CHEVR,1239P,NY,WH
70,20,NY,VOLKS,1233P,NY,WH
7,0,NJ,ME/BE,0511P,MN,BLK
71,28,NY,AUDI,1131A,NY,GY
71,28,NY,BMW,1126A,NY,BL
71,28,NY,DODGE,1123A,NY,GY
71,28,NY,ME/BE,1059A,NY,GY
71,115,NY,HONDA,0414P,Q,BL
71,115,NY,TOYOT,0412P,Q,BK
23,115,NJ,DODGE,0338P,Q,BLACK
40,110,NY,NISSA,0254P,Q,RD
71,115,NY,FORD,0209P,Q,BK
23,115,PA,FORD,0147P,Q,GREY
23,115,NY,ME/BE,0144P,Q,BK
70,110,NY,CHEVR,1226P,Q,WH
14,110,NY,NISSA,1219P,Q,GY
71,110,NY,FORD,1215P,Q,RD
24,110,NY,HONDA,1107A,Q,BK
20,110,NY,CADIL,1103A,Q,RD
23,115,NY,CHEVR,1053A,Q,RD
13,19,NY,GMC,0313P,NY,GY
20,19,NY,NISSA,0239P,NY,GY
71,19,NY,BMW,1206P,NY,GY
71,19,NY,HONDA,1058A,NY,GY
71,20,NY,VOLVO,0400P,NY,BK
71,20,NY,TOYOT,0255P,NY,BK
40,24,NY,SUBAR,0132P,NY,GR
40,24,NY,MINI,0120P,NY,OR
71,24,NY,HONDA,1242P,NY,BK
20,24,NY,NISSA,1123A,NY,BK
71,24,NY,TOYOT,1055A,NY,BK
64,17,NY,HONDA,0600P,NY,GY
71,17,NY,NISSA,0105P,NY,BK
71,17,NY,HONDA,1231P,NY,GR
71,18,NY,TOYOT,1218P,NY,GY
74,18,NY,DODGE,1207P,NY,WH
14,18,NY,CHEVR,1154A,NY,RD
14,18,NY,TOYOT,1109A,NY,BK
14,17,PA,HYUND,0451P,NY,WHITE
64,17,NY,HONDA,0214P,NY,GL
14,18,NY,JEEP,1245P,NY,BL
14,14,NY,SMART,1217P,NY,BK
71,20,NY,HONDA,0257P,NY,GY
71,24,NY,FORD,1236P,NY,BK
14,24,NY,INFIN,1225P,NY,BR
71,24,NY,LEXUS,1159A,NY,GY
71,24,NY,JEEP,1134A,NY,GY
40,24,NY,HONDA,1059A,NY,BK
71,61,NY,INFIN,0445P,K,BK
71,61,NY,INFIN,0128P,K,BK
70,70,NY,BMW,1230P,K,BL
71,70,NY,MAZDA,1225P,K,GR
71,70,NY,HONDA,1222P,K,WH
71,70,NY,FORD,1213P,K,BK
70,70,NY,HONDA,1209P,K,BK
71,70,NY,TOYOT,1202P,K,TN
71,70,NY,TOYOT,1200P,K,RD
71,70,NY,HONDA,1155A,K,GY
71,70,NY,VOLKS,1149A,K,WH
71,70,NY,TOYOT,1146A,K,GY
71,70,NY,HONDA,1143A,K,GY
71,61,NY,LEXUS,1140A,K,GREY
71,61,NY,MAZDA,1137A,K,GY
71,61,NY,LEXUS,1131A,K,GY
71,61,NY,BMW,1130A,K,GY
71,61,NY,INFIN,1124A,K,WH
71,61,NY,LEXUS,1123A,K,GY
71,61,NY,HONDA,1121A,K,GY
71,19,NY,VOLKS,0251P,NY,BK
71,19,NY,FORD,0118P,NY,BL
70,19,NY,HONDA,1150A,NY,BK
71,19,NY,JEEP,1148A,NY,GR
71,19,NY,PORSC,1144A,NY,BLUE
71,19,NY,NISSA,1135A,NY,GY
70,19,NY,TOYOT,1126A,NY,LTG
40,19,NY,FORD,1237P,NY,BK
40,19,NY,SUBAR,1156A,NY,GL
71,19,NY,CHEVR,1130A,NY,BK
71,19,NY,BMW,1056A,NY,BL
14,18,NY,DODGE,0423P,NY,WH
19,18,NJ,INFIN,0409P,NY,WHITE
14,18,NJ,FORD,1237P,NY,WHITE
64,18,NY,HONDA,1234P,NY,GY
64,17,PA,DODGE,1222P,NY,SILVE
20,19,NY,AUDI,1159A,NY,BK
71,18,NY,NISSA,1117A,NY,BL
71,18,NY,KIA,1105A,NY,GY
71,18,NY,BMW,1104A,NY,GY
14,18,OH,CHEVR,1101A,NY,WHITE
71,24,NY,GMC,0220P,NY,BK
71,24,NY,BMW,0143P,NY,BK
40,24,NY,TOYOT,0133P,NY,BL
71,24,NY,AUDI,1229P,NY,GY
71,24,NY,TOYOT,1116A,NY,WH
13,18,NY,NISSA,0432P,NY,GY
71,17,NY,NISSA,0301P,NY,BK
40,17,VA,LEXUS,0200P,NY,WHITE
71,17,NY,FORD,0157P,NY,DKG
70,17,NY,FORD,0156P,NY,DKG
14,17,PA,CHRYS,0136P,NY,BLUE
14,17,NY,VOLKS,0134P,NY,BL
14,17,NY,ME/BE,0117P,NY,WH
71,17,NY,VOLVO,1227P,NY,BK
14,17,NY,MAZDA,1222P,NY,GR
13,17,NY,HYUND,1145A,NY,BK
19,18,FL,CHRYS,1114A,NY,GREY
40,24,NY,DODGE,0332P,NY,GY
71,24,NY,FORD,0146P,NY,RD
71,24,NY,MAZDA,1240P,NY,WH
40,24,NY,SUBAR,1238P,NY,GL
71,24,NY,MAZDA,1233P,NY,BK
71,24,NY,MERCU,1230P,NY,GY
71,24,NY,AUDI,1224P,NY,GY
40,24,PA,TOYOT,1144A,NY,BLACK
70,24,NY,TOYOT,1142A,NY,GY
40,24,PA,TOYOT,1132A,NY,GREY
71,26,NY,AUDI,1123A,NY,BL
40,26,NY,CHEVR,1114A,NY,BL
71,28,NY,HONDA,1105A,NY,GY
50,28,NY,HYUND,1044A,NY,BK
71,13,NY,FORD,0517P,NY,RD
71,13,NY,ACURA,0347P,NY,BK
70,13,NY,ME/BE,0341P,NY,BK
70,13,NY,CHEVR,0233P,NY,BK
71,13,NY,CHEVR,0232P,NY,BK
71,13,NY,NISSA,0211P,NY,GY
71,13,NY,TOYOT,1212P,NY,GY
71,10,NY,HYUND,1142A,NY,BK
71,10,NY,INFIN,1139A,NY,BK
71,10,NY,SUBAR,1137A,NY,GY
71,10,NY,ME/BE,1116A,NY,GY
71,25,NY,DODGE,0358P,NY,BL
14,25,NY,HONDA,0127P,NY,BK
71,23,NY,CHRYS,0103P,NY,RD
71,23,NY,INFIN,1253P,NY,GY
71,23,NY,NISSA,1248P,NY,PR
71,23,NY,FORD,1237P,NY,RD
71,23,NY,BMW,1216P,NY,WH
71,23,NY,NISSA,1212P,NY,RD
71,23,NY,HONDA,1205P,NY,BK
40,19,NY,AUDI,1134A,NY,BK
14,19,NY,FORD,1048A,NY,WH
40,79,NY,NISSA,0522P,K,BK
71,79,NY,NISSA,0440P,K,GY
71,88,NY,LEXUS,0353P,K,GY
71,88,NY,FORD,0245P,K,WH
71,79,NY,NISSA,0230P,K,RD
71,79,NY,ME/BE,0212P,K,GY
71,81,NY,FORD,0206P,K,GR
71,81,NY,GMC,0155P,K,WH
71,79,NY,HONDA,0151P,K,GR
71,79,NY,HONDA,0149P,K,GY
71,79,NY,FORD,0143P,K,BK
70,79,NY,HONDA,0136P,K,BK
71,79,NY,ACURA,0129P,K,GY
40,24,NY,JEEP,1132A,NY,GY
40,24,NY,HONDA,1130A,NY,BK
40,24,NY,JEEP,1127A,NY,WH
14,1,NY,FORD,0407P,NY,BL
40,1,NY,DODGE,0302P,NY,GY
71,1,NY,SMART,0245P,NY,GY
71,5,NY,DODGE,1154A,NY,RD
40,1,OH,TOYOT,1047A,NY,SILVE
71,94,NY,DODGE,0610P,K,WH
71,94,NY,SUBAR,0428P,K,GR
70,94,NY,CHEVR,0402P,K,GREY
14,94,NY,NISSA,0313P,K,GY
71,94,NY,VOLKS,0148P,K,RD
71,94,NY,SUBAR,0144P,K,GR
70,94,NY,NISSA,0141P,K,WH
71,94,NY,MAZDA,0139P,K,WH
71,94,NY,NISSA,0136P,K,GY
71,94,NY,HONDA,0131P,K,TN
71,94,NY,DODGE,0128P,K,WH
71,94,NY,VOLVO,0110P,K,GY
71,94,NY,MAZDA,1255P,K,WH
70,94,NY,VOLKS,1217P,K,GR
71,94,NY,SMART,1203P,K,WH
40,94,PA,TOYOT,1200P,K,WHITE
71,94,NY,SMART,1155A,K,WH
71,94,NY,NISSA,1150A,K,WH
71,94,NY,HONDA,1134A,K,BK
71,94,NY,NISSA,1119A,K,RD
71,94,NY,SMART,1110A,K,WH
70,94,NY,TOYOT,1104A,K,GY
40,19,NY,FORD,0439P,NY,GY
71,43,NY,HONDA,0511P,BX,PR
71,43,NY,HONDA,0219P,BX,BL
70,43,NY,NS/OT,1236P,BX,BLACK
20,43,NY,NS/OT,1234P,BX,BLACK
20,43,NY,ME/BE,1230P,BX,WH
40,43,NY,TOYOT,1133A,BX,RD
70,43,NY,NS/OT,1128A,BX,WHITE
71,24,NY,HONDA,0134P,NY,GY
70,24,NY,HONDA,1213P,NY,TN
71,24,NY,HONDA,1133A,NY,GY
71,19,NY,VOLVO,0140P,NY,BL
71,19,NY,PORSC,1207P,NY,BK
71,19,NY,FORD,1144A,NY,BR
71,19,NY,HONDA,1141A,NY,GY
71,19,NY,HONDA,1139A,NY,BK
14,19,NY,HONDA,1138A,NY,GY
70,19,NY,JEEP,1136A,NY,GY
71,19,NY,VOLKS,1135A,NY,WH
71,19,NY,JEEP,1117A,NY,GY
71,19,NY,HONDA,1114A,NY,BK
20,19,PA,AUDI,1108A,NY,BLACK
20,19,NY,HONDA,1106A,NY,GY
71,19,NY,HYUND,1100A,NY,BL
71,19,NY,HONDA,1058A,NY,WH
20,19,NY,SUBAR,1054A,NY,GY
71,19,NY,TOYOT,1049A,NY,WH
23,107,NY,HONDA,0612P,Q,BK
71,106,NY,CHEVR,0404P,Q,WHITE
71,102,NY,NISSA,0400P,Q,BK
71,102,NY,NISSA,0333P,Q,GR
71,102,NY,FORD,0317P,Q,GR
71,102,NY,TOYOT,0310P,Q,BK
71,102,NY,DODGE,0303P,Q,WH
70,102,NY,DODGE,0302P,Q,WH
71,102,NY,CHEVR,0255P,Q,WH
71,102,NY,NISSA,0156P,Q,BL
71,102,NY,INFIN,0138P,Q,WH
70,102,NY,ME/BE,0131P,Q,BK
71,102,NY,JEEP,0100P,Q,GY
40,102,NY,HONDA,1255P,Q,BK
40,102,NY,CHEVR,1154A,Q,GY
20,102,NY,ME/BE,1147A,Q,WH
19,102,NY,FORD,1143A,Q,WH
71,102,NY,ACURA,1130A,Q,LTG
70,102,NY,HONDA,1128A,Q,GY
50,102,NY,HONDA,1125A,Q,RD
71,102,NY,NISSA,1120A,Q,BR
40,102,NY,HONDA,1113A,Q,GY
71,102,NY,NISSA,1109A,Q,BK
71,24,NY,AUDI,0408P,NY,RD
70,24,NY,ME/BE,0136P,NY,WH
71,24,NY,ME/BE,0136P,NY,WH
40,24,NY,SAAB,1206P,NY,GY
71,24,NY,MINI,1204P,NY,WH
71,24,NY,ACURA,1152A,NY,OTHER
70,24,NY,AUDI,1111A,NY,GY
70,84,NY,AUDI,0454P,K,BL
71,88,NY,HONDA,0214P,K,WH
71,88,NY,VOLKS,0147P,K,BL
71,88,NY,VOLVO,0133P,K,BK
71,88,NY,MAZDA,1225P,K,GY
71,88,NY,TOYOT,1200P,K,BK
71,88,NY,BUICK,1110A,K,RD
71,88,NY,NISSA,1105A,K,GY
70,88,NY,ME/BE,1103A,K,BK
70,88,NY,BMW,1047A,K,BK
7,0,NY,HONDA,0148A,ST,GY
71,88,NY,JEEP,1044A,K,BK
70,1,NY,BMW,0403P,NY,BK
71,1,NY,ROVER,0207P,NY,WH
71,1,NY,CADIL,0148P,NY,BK
71,1,NY,HYUND,1123A,NY,BK
71,19,NY,MAZDA,1258P,NY,BK
20,19,NY,HONDA,1254P,NY,GY
71,19,NY,HONDA,1252P,NY,GY
71,19,NY,ACURA,1206P,NY,BK
71,19,NY,JEEP,1128A,NY,BK
71,19,NY,VOLKS,1115A,NY,GY
71,84,NY,NISSA,0504P,K,RD
71,84,NY,ME/BE,0456P,K,WH
71,84,NY,HONDA,0439P,K,WH
70,84,NY,HONDA,0437P,K,WH
71,84,NY,LEXUS,0433P,K,GY
40,84,NY,TOYOT,0227P,K,RD
71,84,NY,CADIL,0149P,K,BK
71,84,NY,ACURA,0129P,K,GY
71,84,NY,MINI,0122P,K,SILVE
71,84,NY,TOYOT,1255P,K,GREY
71,84,NY,SUBAR,1146A,K,BLACK
70,84,NY,FORD,1129A,K,BK
71,66,NY,HYUND,0210P,K,GY
7,0,NY,HONDA,0145A,ST,BK
71,66,NY,HONDA,0207P,K,GY
71,66,NY,FORD,0200P,K,YW
71,66,NY,ACURA,0158P,K,OTHER
71,66,NY,LEXUS,0155P,K,BL
71,66,NY,HONDA,0150P,K,GY
71,66,NY,CHRYS,0149P,K,BL
71,66,NY,DODGE,0145P,K,GY
71,66,NY,TOYOT,0140P,K,TN
71,66,NY,HONDA,0130P,K,GY
71,66,NY,BMW,0128P,K,WH
71,66,NY,MERCU,0124P,K,GL
71,66,NY,HYUND,0107P,K,WH
71,66,NY,TOYOT,0105P,K,RD
71,66,NY,NISSA,0101P,K,BK
71,66,NY,HONDA,1257P,K,GY
71,66,NY,HONDA,1248P,K,BK
71,70,NY,MINI,1237P,K,GY
71,60,NY,TOYOT,1139A,K,GY
71,60,NY,BMW,1136A,K,WH
20,60,NY,BMW,1132A,K,BL
20,60,NY,JEEP,1131A,K,BL
71,60,NY,ME/BE,1125A,K,GY
70,60,NY,BMW,1122A,K,BK
71,60,NY,HONDA,1118A,K,BK
71,60,NY,HONDA,1113A,K,GY
40,60,NY,ROVER,1110A,K,BK
20,60,NY,JEEP,1109A,K,BL
20,60,NY,TOYOT,1107A,K,SILVE
71,60,NY,CHRYS,1057A,K,BL
71,84,NY,BMW,0613P,K,BK
40,84,NY,CHRYS,0606P,K,GR
71,84,NY,ME/BE,0544P,K,WH
14,84,NY,TOYOT,0455P,K,GY
14,84,NY,VOLKS,0340P,K,RD
14,84,PA,HYUND,0153P,K,RED
71,84,NY,TOYOT,0135P,K,WH
71,84,NY,VOLKS,1225P,K,BK
71,84,NY,TOYOT,1141A,K,GY
20,84,NY,TOYOT,1105A,K,TN
71,102,NY,HONDA,0513P,Q,BK
71,102,NY,VOLKS,0506P,Q,GY
71,102,NY,FORD,0434P,Q,WH
71,102,NY,BMW,0357P,Q,TN
71,102,NY,LEXUS,0346P,Q,GY
70,102,NY,DODGE,0303P,Q,WH
71,102,NY,NISSA,0300P,Q,BL
40,102,NY,FORD,0154P,Q,WH
71,102,NY,MAZDA,0144P,Q,BK
71,102,NY,GMC,0135P,Q,BL
74,102,NY,CHEVR,0132P,Q,WH
71,102,NY,HYUND,0129P,Q,WH
71,102,NY,DODGE,0126P,Q,RD
71,102,NY,BMW,1246P,Q,GY
40,102,NY,NISSA,1238P,Q,BK
14,102,NY,NISSA,1230P,Q,BK
71,102,NY,HYUND,1227P,Q,RD
71,102,NY,BMW,1224P,Q,WH
71,102,NY,JEEP,1219P,Q,RD
40,102,NY,NISSA,1207P,Q,RD
71,102,NY,FORD,1135A,Q,BL
71,102,NY,HONDA,1130A,Q,GY
71,1,NY,HONDA,0202P,NY,BK
70,1,NY,SUBAR,0135P,NY,BK
